segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
111,75.899051,17.633618,75.898391,17.633145,GI,0.05,122.71062,zone_5,Distribution Pipeline,complete,30,40,100
112,75.898961,17.634601,75.898177,17.634595,GI,0.05,83.20473,zone_5,Distribution Pipeline,complete,30,40,100
113,75.898368,17.633598,75.898058,17.633601,GI,0.05,32.87032,zone_5,Distribution Pipeline,complete,30,40,100
114,75.923157,17.636058,75.924172,17.63642,GI,0.05,114.87845,zone_5,Distribution Pipeline,complete,30,40,100
115,75.928263,17.67033,75.928014,17.669419,GI,0.05,104.23306,zone_3,Distribution Pipeline,complete,30,40,100
116,75.928561,17.670264,75.928325,17.669318,GI,0.05,107.69316,zone_3,Distribution Pipeline,complete,30,40,100
117,75.928484,17.669954,75.929777,17.669667,GI,0.05,140.81816,zone_3,Distribution Pipeline,complete,30,40,100
118,75.928369,17.669493,75.929636,17.669217,GI,0.05,137.95463,zone_3,Distribution Pipeline,complete,30,40,100
119,75.929909,17.669968,75.929657,17.669016,GI,0.05,108.65494,zone_3,Distribution Pipeline,complete,30,40,100
120,75.928903,17.670839,75.92935,17.670428,GI,0.05,84.78343,zone_3,Distribution Pipeline,complete,30,40,100
121,75.929481,17.670709,75.929731,17.670332,GI,0.05,68.38836,zone_3,Distribution Pipeline,complete,30,40,100
122,75.929895,17.670617,75.929728,17.670108,GI,0.05,59.04271,zone_3,Distribution Pipeline,complete,30,40,100
123,75.930137,17.670563,75.929985,17.670004,GI,0.05,63.94974,zone_3,Distribution Pipeline,complete,30,40,100
124,75.928868,17.671236,75.928808,17.670914,GI,0.05,36.21646,zone_3,Distribution Pipeline,complete,30,40,100
125,75.929203,17.67118,75.929127,17.670834,GI,0.05,39.13678,zone_3,Distribution Pipeline,complete,30,40,100
126,75.930045,17.671058,75.929984,17.670659,GI,0.05,44.65029,zone_3,Distribution Pipeline,complete,30,40,100
127,75.90305,17.688454,75.903449,17.688684,GI,0.05,49.39652,zone_2,Distribution Pipeline,complete,30,40,100
128,75.883713,17.666797,75.883952,17.666394,GI,0.05,67.31597,zone_6,Distribution Pipeline,complete,30,40,100
